"genres","pearson_r","spearman_r"
"Biography",-0.394303812025897,-0.46035141329259
"Animation",-0.391062450548089,-0.46401833460657
"War",0.390270901623182,0.451184110007639
"Mystery",0.271332200404425,0.260504201680672
"Drama",-0.250186198958105,-0.258059587471352
"Adventure",-0.249444601285631,-0.239724980901451
"Adult",0.242510765709285,0.144690603514133
"Music",0.224754297586705,0.347899159663866
"Romance",-0.214373658046013,-0.189304812834225
"Action",-0.185644091028841,-0.140412528647823
"Documentary",0.178893630183756,0.0609625668449198
"Sport",0.169395786227871,0.144996180290298
"History",-0.151814805531592,-0.0569900687547746
"Talk-Show",-0.147294907899277,-0.144079449961803
"Comedy",-0.139476741469277,-0.144385026737968
"Thriller",-0.129148237934725,-0.127578304048892
"Musical",0.112144222450936,0.174942704354469
"Fantasy",-0.0956985120726726,-0.122077922077922
"Crime",-0.0650678337828828,-0.119938884644767
"Sci-Fi",0.048002362773049,0.129411764705882
"Short",-0.0156827699877221,0.0484339190221543
"Horror",0.0114354952824409,0.0105423987776929
"Family",-0.0103523401961633,0.0172650878533231
"Other",0.00351757060922337,0.0270435446906035
