"X","crop","year","yield","pct_change_yield"
3,"maize",1983,38091.6184557769,-10.0553435250143
4,"maize",1984,41980.8969392404,10.2103261587029
5,"maize",1985,43999.0925270468,4.80741416918119
6,"maize",1986,44704.7489446271,1.60379766275071
7,"maize",1987,44683.0005381349,-0.0486489847401696
8,"maize",1988,41759.3672673926,-6.54305493259592
9,"maize",1989,45598.7358732149,9.19402964426675
10,"maize",1990,47187.3077875674,3.48380691686157
11,"maize",1991,46293.208674442,-1.89478729566549
12,"maize",1992,48599.8083900679,4.98258768763926
13,"maize",1993,47650.8043110818,-1.95269098875714
14,"maize",1994,50674.2849899959,6.34507795330318
15,"maize",1995,49839.1237373799,-1.64809676699113
16,"maize",1996,53304.2207511105,6.95256407795095
17,"maize",1997,52232.1386010293,-2.01125189520544
18,"maize",1998,55293.9422312435,5.86191512011699
19,"maize",1999,54626.9051905852,-1.20634741120229
20,"maize",2000,55170.4942532592,0.995094012332381
21,"maize",2001,57180.6932151951,3.64361238583093
22,"maize",2002,57043.2551650479,-0.240357439581852
23,"maize",2003,58667.2973300107,2.84703627144668
24,"maize",2004,62241.134543065,6.09170249134034
25,"maize",2005,62053.129308356,-0.302059459695293
26,"maize",2006,62506.373108808,0.730412479602326
27,"maize",2007,62801.5667627566,0.472261689915586
28,"maize",2008,65311.3708993867,3.99640369819323
29,"maize",2009,65616.4145489,0.467060552110017
30,"maize",2010,67706.5382855609,3.18536718446155
31,"maize",2011,59940.6458727382,-11.4699298021545
32,"maize",2012,57373.2577921078,-4.28321724474124
33,"maize",2013,62649.7633894309,9.19680318039902
34,"maize",2014,65432.539790526,4.44179874039966
35,"maize",2015,61505.4034909904,-6.00180936290695
36,"maize",2016,65079.8314543292,5.81156737531589
111,"rice",1983,31480.5814794451,-0.959949253449919
112,"rice",1984,33314.8282940742,5.82659763075454
113,"rice",1985,33267.3515544403,-0.142509333125832
114,"rice",1986,33600.0779096913,1.00015883352336
115,"rice",1987,33879.508681003,0.831637271981139
116,"rice",1988,33912.5389214922,0.0974932688670516
117,"rice",1989,36852.6228187885,8.66960714472783
118,"rice",1990,35393.3527275957,-3.95974554746974
119,"rice",1991,37013.4167390245,4.57731151919285
120,"rice",1992,36601.830461286,-1.11199212069646
121,"rice",1993,38023.7538960464,3.88484241591244
122,"rice",1994,37636.8758772742,-1.01746403006366
123,"rice",1995,37939.9112285636,0.805155433935413
124,"rice",1996,40497.7455267087,6.74180359235895
125,"rice",1997,39249.2050391138,-3.08298763636479
126,"rice",1998,39191.8614912387,-0.146101170247785
127,"rice",1999,41714.1485297959,6.43574186727787
128,"rice",2000,41059.2700857483,-1.56991924114148
129,"rice",2001,42472.5459886007,3.44203854549999
130,"rice",2002,42622.1557807736,0.352250586091673
131,"rice",2003,41965.4593005851,-1.54073971191465
132,"rice",2004,42128.3421260249,0.388135452713923
133,"rice",2005,43123.80651253,2.36293273427949
134,"rice",2006,44555.1311251661,3.31910545100007
135,"rice",2007,44425.3262299467,-0.291335457760739
136,"rice",2008,46289.6470596865,4.19652704425854
137,"rice",2009,46519.3340498973,0.496195164146833
138,"rice",2010,47799.7446855977,2.75242683897198
139,"rice",2011,42217.5623705834,-11.6782680571435
140,"rice",2012,42800.549671486,1.3809118010774
141,"rice",2013,41604.0157444105,-2.79560411317016
142,"rice",2014,44602.8601799458,7.20806485113926
143,"rice",2015,39819.4069062546,-10.7245437947092
144,"rice",2016,44158.2454109415,10.8962911348772
219,"soybean",1983,10133.0851886831,0.84448957399051
220,"soybean",1984,10505.5664499514,3.67589193550151
221,"soybean",1985,11292.4937200993,7.4905743911747
222,"soybean",1986,11096.5536761172,-1.73513529286583
223,"soybean",1987,11117.4958871584,0.188727163878575
224,"soybean",1988,10911.9418196194,-1.84892416084841
225,"soybean",1989,11229.9185020104,2.91402472307253
226,"soybean",1990,12114.5890044793,7.87779984610329
227,"soybean",1991,11445.6131421141,-5.52206816193145
228,"soybean",1992,11671.0109799616,1.96929456769904
229,"soybean",1993,12315.6476997994,5.52340085143096
230,"soybean",1994,12713.3842952214,3.22952235332681
231,"soybean",1995,12476.4182324558,-1.8639101694949
232,"soybean",1996,13166.2116973363,5.52877798762862
233,"soybean",1997,13259.7435816228,0.710393288795612
234,"soybean",1998,13899.2073080689,4.82259496580581
235,"soybean",1999,13397.2454988137,-3.61144199183069
236,"soybean",2000,13042.8651908115,-2.64517290538252
237,"soybean",2001,14126.4489955977,8.30786632334104
238,"soybean",2002,14116.6841827482,-0.0691243273701925
239,"soybean",2003,13718.3034319878,-2.82205612595099
240,"soybean",2004,13756.3528965265,0.27736275646139
241,"soybean",2005,14005.5849089995,1.81175936927245
242,"soybean",2006,14078.9787764698,0.524032862227255
243,"soybean",2007,13793.6625356004,-2.02654074133735
244,"soybean",2008,14000.5914149806,1.50017356772453
245,"soybean",2009,13915.4553956538,-0.608088735706578
246,"soybean",2010,14863.6330278441,6.81384550653256
247,"soybean",2011,13764.9487845674,-7.39176109379538
248,"soybean",2012,13232.7063030154,-3.86665064928337
249,"soybean",2013,13579.9636223689,2.62423506878837
250,"soybean",2014,13804.0111358166,1.64983883372596
251,"soybean",2015,12352.7454916537,-10.5133618763706
252,"soybean",2016,14502.6601845399,17.4043470282685
255,"wheat",1983,40781.1206793208,5.93333298169558
256,"wheat",1984,42175.9428135492,3.42026435515708
257,"wheat",1985,41621.3212461565,-1.31501877704208
258,"wheat",1986,41156.2085226364,-1.11748668613697
259,"wheat",1987,41685.4139061812,1.28584581170477
260,"wheat",1988,40975.5531055788,-1.70289972938746
261,"wheat",1989,41157.674199719,0.444462808521307
262,"wheat",1990,41985.616021865,2.01163413201724
263,"wheat",1991,39926.507303251,-4.90431941630122
264,"wheat",1992,43091.6090365117,7.92731933504983
265,"wheat",1993,40889.0502973674,-5.11134020843376
266,"wheat",1994,43578.7720489036,6.57809788189034
267,"wheat",1995,39798.1799147762,-8.67530670640481
268,"wheat",1996,43894.4016005751,10.2924849693392
269,"wheat",1997,43299.928356831,-1.35432588682633
270,"wheat",1998,44115.4337790217,1.88338746306967
271,"wheat",1999,45514.293301357,3.17090732767655
272,"wheat",2000,43244.789381546,-4.98635429706504
273,"wheat",2001,44991.1858838107,4.03839752081195
274,"wheat",2002,42828.6511985753,-4.8065740939128
275,"wheat",2003,44934.4352866942,4.91676489730068
276,"wheat",2004,47613.5182056054,5.96220449153953
277,"wheat",2005,46288.4983805181,-2.78286477249084
278,"wheat",2006,47527.9248125972,2.67761209683301
279,"wheat",2007,45310.6126031354,-4.66528302719858
280,"wheat",2008,48499.8893545177,7.03869704723791
281,"wheat",2009,48037.748052083,-0.952870838645842
282,"wheat",2010,49474.019039602,2.98987992934594
283,"wheat",2011,43545.7552360147,-11.9825797836274
284,"wheat",2012,42951.565989133,-1.36451703193857
285,"wheat",2013,44410.9377947859,3.39771501235166
286,"wheat",2014,44001.2499622665,-0.922493090356458
287,"wheat",2015,37523.993591994,-14.7206190183849
288,"wheat",2016,45504.3499013148,21.2673426930322
