"genres","pearson_r","spearman_r"
"Mystery",0.315142719045356,0.32131398013751
"Documentary",0.298874239474811,0.450267379679144
"Adult",0.298499091184975,0.0603514132925898
"Animation",-0.250622411701495,-0.328342245989305
"Music",0.234578193273693,0.370511841100076
"Action",0.221907675306268,0.280061115355233
"Other",0.210721115280487,0.350954927425516
"Short",0.207345980511178,0.220168067226891
"War",0.204215985905686,0.119327731092437
"Horror",0.183223388126217,0.270282658517953
"Fantasy",0.176462344283727,0.20305576776165
"Drama",0.164828168710996,0.258670741023682
"Family",0.113909860818177,0.120550038197097
"Biography",-0.106860710792833,0.00779220779220779
"Thriller",-0.102049543222102,-0.013903743315508
"Talk-Show",0.0744812438984109,0.0151260504201681
"Comedy",0.0716585976035893,0.0823529411764706
"Adventure",-0.0638572612800641,-0.0194041252864782
"Romance",0.0627216979027544,0.155385790679908
"Sport",-0.0531704821070814,-0.20977845683728
"Sci-Fi",-0.0433795150221064,-0.0548510313216196
"Musical",-0.0421060140256541,-0.111382734912147
"Crime",0.0398765962457664,0.0447669977081742
"History",-0.00738868042828668,-0.0741023682200153
