"genres","pearson_r","spearman_r"
"Adult",0.427157641136955,0.236363636363636
"Mystery",0.36651047671718,0.46768525592055
"Music",0.325292889002837,0.357983193277311
"Biography",-0.265600661310892,-0.47012987012987
"Talk-Show",-0.254050239967194,-0.380595874713522
"Adventure",0.241368197857016,0.148968678380443
"Short",-0.240868996218151,-0.237280366692131
"Documentary",0.228170499670325,0.221390374331551
"Crime",-0.198883848729705,-0.159969442322383
"War",0.180328997708255,0.178304048892284
"Comedy",0.151454285637317,0.125133689839572
"Sci-Fi",0.142555457699117,0.166080977845684
"Fantasy",-0.118738110216129,-0.142857142857143
"Horror",-0.104897042150208,-0.156302521008403
"Romance",-0.10100592823174,-0.148663101604278
"Thriller",-0.0834710396065977,-0.0722689075630252
"Action",0.0666038559503591,0.00656990068754775
"Other",0.0366897551796594,0.0536287242169595
"History",-0.0298221828284612,-0.124216959511077
"Animation",-0.0269875880802599,-0.147746371275783
"Sport",-0.0191253961952285,-0.0270435446906035
"Musical",-0.0188484439736912,-0.0371275783040489
"Drama",0.00851248909640743,-0.038655462184874
"Family",0.00578796484946873,0.0490450725744843
