"crop","genres","lag","correlation","p_value","n","abs_corr"
"maize","Animation",-1,0.615141039024551,0.000139214430675428,33,0.615141039024551
"maize","Short",-2,0.578025626168841,0.000530761768766363,32,0.578025626168841
"maize","Adventure",-1,0.576606818827564,0.000444328360394676,33,0.576606818827564
"rice","Short",-2,0.568381922031877,0.000689260552983924,32,0.568381922031877
"wheat","War",1,-0.485561080334452,0.00417721279249095,33,0.485561080334452
"rice","Drama",-2,0.4688881014236,0.00678967778501961,32,0.4688881014236
"rice","Drama",-3,-0.467957651928405,0.00793676376303653,31,0.467957651928405
"wheat","Biography",-3,0.460238801998636,0.00918131838503325,31,0.460238801998636
"maize","Short",-3,-0.457156960718054,0.00972233174744648,31,0.457156960718054
"wheat","Thriller",3,-0.449380486021241,0.0112082664421738,31,0.449380486021241
