"year","genres","mean_ratings","count","pct_change_rating"
1983,"Action",6.72319391634981,1315,NA
1984,"Action",6.625,1240,-1.4605248275082
1985,"Action",6.7241550695825,2012,1.49668029558491
1986,"Action",6.86908442330559,1682,2.15535412588407
1987,"Action",6.61731946144431,1634,-3.6651895121144
1988,"Action",6.45193798449612,1419,-2.49922159435981
1989,"Action",6.55250596658711,1676,1.55872518199421
1990,"Action",6.38689288090486,1503,-2.52747706796077
1991,"Action",6.53292533659731,1634,2.28643971983699
1992,"Action",6.53590425531915,1504,0.0455985422817048
1993,"Action",6.76009538950715,1887,3.43014715990591
1994,"Action",6.75739206279983,2293,-0.0399894757626681
1995,"Action",6.90427176566314,2458,2.17361522756536
1996,"Action",6.92350443844076,2591,0.278561931372234
1997,"Action",7.00343362831858,2825,1.15446145212295
1998,"Action",6.96415532691669,3013,-0.560843487444026
1999,"Action",6.98412204234122,3212,0.286706922623601
2000,"Action",6.93390216154721,3516,-0.719057892882622
2001,"Action",6.98802021403092,3364,0.780484800951301
2002,"Action",6.9790811904074,3461,-0.127919258241018
2003,"Action",7.09384696292401,3803,1.64442523858805
2004,"Action",7.12860163891092,3783,0.489927061699466
2005,"Action",7.11574884199691,3886,-0.180298992215456
2006,"Action",7.05544106559437,3979,-0.847525365799943
2007,"Action",7.10266415500538,3716,0.669314490362506
2008,"Action",7.059766615931,3942,-0.603964063880862
2009,"Action",7.08876946698837,4559,0.410818836304335
2010,"Action",7.1550070238812,4983,0.934401340053317
2011,"Action",7.1593557472276,5681,0.0607787432197635
2012,"Action",7.21018533978961,5989,0.709974393739169
2013,"Action",7.14479652065859,6438,-0.906895121962669
2014,"Action",7.24194488992565,6859,1.35970799148951
2015,"Action",7.13364589078875,7252,-1.49544080744878
2016,"Action",7.21536398981097,7459,1.14553063431054
1983,"Adult",5.69228295819936,311,NA
1984,"Adult",5.73542168674699,415,0.757845821516844
1985,"Adult",6.00251798561151,556,4.65696008859658
1986,"Adult",5.97558139534884,516,-0.448754844670836
1987,"Adult",5.9877358490566,424,0.203402027411435
1988,"Adult",6.05983827493261,371,1.20416844853586
1989,"Adult",6.20606796116505,412,2.41309552496376
1990,"Adult",6.19133663366337,404,-0.237369741901987
1991,"Adult",6.18719806763285,414,-0.0668444679298866
1992,"Adult",6.29188118811881,505,1.69193097330422
1993,"Adult",6.30644599303136,574,0.231485695248874
1994,"Adult",6.3875,616,1.28525649879829
1995,"Adult",6.39351988217968,679,0.0942447307973346
1996,"Adult",6.48270676691729,532,1.39495749416837
1997,"Adult",6.51852551984877,529,0.552527736010996
1998,"Adult",6.52848837209302,516,0.152839046405716
1999,"Adult",6.63460869565217,575,1.62549609512635
2000,"Adult",6.65238095238095,588,0.267871965688451
2001,"Adult",6.56009316770186,644,-1.38728953347236
2002,"Adult",6.65557299843014,637,1.45546455343604
2003,"Adult",6.55618631732169,687,-1.49328511807913
2004,"Adult",6.66710875331565,754,1.69187437063676
2005,"Adult",6.82782051282051,780,2.4105165439957
2006,"Adult",6.78277777777778,720,-0.659694187305472
2007,"Adult",6.81313320825516,533,0.447536856902961
2008,"Adult",6.79208074534161,644,-0.308998257777228
2009,"Adult",6.59090909090909,561,-2.96185604934828
2010,"Adult",6.59077181208054,596,-0.00208285119179432
2011,"Adult",6.33112701252236,559,-3.93952039247155
2012,"Adult",6.21360424028269,566,-1.856269381537
2013,"Adult",6.20480620155039,645,-0.141593162230419
2014,"Adult",6.13157076205288,643,-1.18030180345053
2015,"Adult",6.31841620626151,543,3.04726882326761
2016,"Adult",6.73098039215686,510,6.52955064097394
1983,"Adventure",6.84428672817601,1409,NA
1984,"Adventure",6.71043239533288,1457,-1.95570901920412
1985,"Adventure",6.8415626695605,1843,1.95412555409725
1986,"Adventure",6.95258413461538,1664,1.62275009989804
1987,"Adventure",6.93403068340307,1434,-0.266856910367119
1988,"Adventure",6.89118165784832,1134,-0.617952638388403
1989,"Adventure",6.82483847810481,1393,-0.962725741933573
1990,"Adventure",7.05024734982332,1415,3.30277225522126
1991,"Adventure",7.08911651728553,1562,0.551316365704297
1992,"Adventure",7.08560606060606,1584,-0.0495189586870252
1993,"Adventure",7.18787706317587,1757,1.44336280757136
1994,"Adventure",7.15920930232558,2150,-0.398834879872353
1995,"Adventure",7.32454702329594,2318,2.30944108473894
1996,"Adventure",7.19391143911439,2168,-1.78353123771421
1997,"Adventure",7.16485647788984,2578,-0.40388266481255
1998,"Adventure",7.16375650780937,2497,-0.015352297479561
1999,"Adventure",7.17402805611222,2495,0.143382152808386
2000,"Adventure",7.02269158878505,2675,-2.10950481575314
2001,"Adventure",7.13062352012628,2534,1.53690262453776
2002,"Adventure",7.19633982538616,2978,0.921606716080234
2003,"Adventure",7.27391304347826,3220,1.07795379282187
2004,"Adventure",7.27427854454203,3188,0.00502482036262934
2005,"Adventure",7.39850662158354,3549,1.70777179181185
2006,"Adventure",7.23182849936948,3965,-2.25286170222262
2007,"Adventure",7.26424932574168,3337,0.448307456060757
2008,"Adventure",7.25361077111383,3268,-0.146450846478404
2009,"Adventure",7.29895965490992,3941,0.62519047722665
2010,"Adventure",7.32830235439901,4035,0.402012079479725
2011,"Adventure",7.40324647586502,4682,1.0226668857491
2012,"Adventure",7.37523886968896,4919,-0.378315192765303
2013,"Adventure",7.28737214059885,5377,-1.19137468823184
2014,"Adventure",7.34681728527882,5577,0.815728132625373
2015,"Adventure",7.24597775270031,6203,-1.3725607792175
2016,"Adventure",7.34394400486914,6572,1.35200873522309
1983,"Animation",6.9119512195122,1230,NA
1984,"Animation",6.68136117556071,1293,-3.3361063559092
1985,"Animation",6.95957224830464,1917,4.16398792751362
1986,"Animation",7.05661467359908,1731,1.39437341595355
1987,"Animation",7.10102105934907,1567,0.62928738217955
1988,"Animation",6.96361538461538,1300,-1.93501291694922
1989,"Animation",6.91186943620178,1348,-0.743090270722346
1990,"Animation",6.99199706314244,1362,1.15927576005678
1991,"Animation",7.1132848645076,1513,1.73466607994609
1992,"Animation",7.11291696238467,1409,-0.00517204259265242
1993,"Animation",7.29629147690306,1537,2.57804942034516
1994,"Animation",7.31953955135773,1694,0.318628642074719
1995,"Animation",7.43774062816616,1974,1.61487038875969
1996,"Animation",7.33894255210981,1967,-1.32833451710065
1997,"Animation",7.37197278911565,2205,0.450068068680336
1998,"Animation",7.28402178847027,2203,-1.19304564953408
1999,"Animation",7.27121451104101,2536,-0.175827006030255
2000,"Animation",7.18362863217576,2822,-1.20455638782564
2001,"Animation",7.20610526315789,2850,0.312886872818776
2002,"Animation",7.20312215822977,3299,-0.0413969102473624
2003,"Animation",7.24193905817175,3610,0.538889929801216
2004,"Animation",7.2377239199157,3796,-0.0582045529821759
2005,"Animation",7.37412155745489,4212,1.88453772274832
2006,"Animation",7.28730745532964,4869,-1.17728059469653
2007,"Animation",7.31449676823638,4332,0.373105060729327
2008,"Animation",7.2814348785872,4530,-0.452004979929081
2009,"Animation",7.2940310880829,4825,0.172990759455138
2010,"Animation",7.26604150039904,5012,-0.383732771986528
2011,"Animation",7.30114739629303,5665,0.483150225498462
2012,"Animation",7.32172478793591,6366,0.281837778721311
2013,"Animation",7.32323093382241,6543,0.0205709164182328
2014,"Animation",7.2854564132668,6814,-0.515817688899417
2015,"Animation",7.34520665901263,6968,0.820130440105647
2016,"Animation",7.32618337440021,7711,-0.258989099906111
1983,"Biography",7.19507042253521,142,NA
1984,"Biography",7.0965811965812,117,-1.36884311299495
1985,"Biography",6.88173076923077,104,-3.02752017343132
1986,"Biography",7.04265734265734,143,2.33846075679241
1987,"Biography",7.15826771653543,127,1.64157317690069
1988,"Biography",7.12112676056338,142,-0.518853966389874
1989,"Biography",6.89714285714286,140,-3.14534358047011
1990,"Biography",6.839375,160,-0.837562137531096
1991,"Biography",6.91818181818182,143,1.15225175080791
1992,"Biography",6.97153284671533,137,0.771171240300406
1993,"Biography",7.10245098039216,204,1.87789595997547
1994,"Biography",6.86268656716418,201,-3.37579821233404
1995,"Biography",6.89806451612903,310,0.515511653032833
1996,"Biography",6.72935153583618,293,-2.44580171580544
1997,"Biography",7.10925925925926,324,5.64553243206178
1998,"Biography",6.97472527472527,364,-1.89237696401026
1999,"Biography",6.97815533980583,412,0.049178497294928
2000,"Biography",7.01370143149284,489,0.509390948697326
2001,"Biography",6.96637554585153,458,-0.674763334361616
2002,"Biography",6.92048780487805,410,-0.658703233431141
2003,"Biography",7.00566502463054,406,1.23079791705508
2004,"Biography",7.13758099352052,463,1.88298995778687
2005,"Biography",7.05631691648822,467,-1.13853807201727
2006,"Biography",7.17781954887218,532,1.72189874437257
2007,"Biography",7.15825688073395,436,-0.272543326076002
2008,"Biography",7.22503888024883,643,0.932936616100219
2009,"Biography",7.31806615776081,786,1.28756784639995
2010,"Biography",7.23323671497585,1035,-1.15917840801423
2011,"Biography",7.26935779816514,1090,0.499376484036585
2012,"Biography",7.41923076923077,1326,2.06170854739686
2013,"Biography",7.30433884297521,1452,-1.54856924968614
2014,"Biography",7.29029850746269,1608,-0.192219115437443
2015,"Biography",7.25283687943262,1692,-0.513855886582995
2016,"Biography",7.3350443599493,1578,1.13345277004369
1983,"Comedy",6.8160472972973,2368,NA
1984,"Comedy",6.78380097268986,2673,-0.473094202562629
1985,"Comedy",6.82630780894617,2638,0.626593209727632
1986,"Comedy",6.86066291432145,3198,0.50327506958088
1987,"Comedy",6.87992125984252,3302,0.280706773697769
1988,"Comedy",6.82293781725888,3152,-0.828257191201414
1989,"Comedy",6.89529078014184,3525,1.06043708473995
1990,"Comedy",6.97618410489698,3737,1.17316770727218
1991,"Comedy",7.00351145038168,3930,0.391723398835152
1992,"Comedy",7.02885043263288,4045,0.361803966920324
1993,"Comedy",7.06883243771373,4094,0.568827085795211
1994,"Comedy",7.06714453584019,4255,-0.0238780857859146
1995,"Comedy",7.10939471839215,4279,0.597839514073803
1996,"Comedy",7.06263374485597,4860,-0.657734946340903
1997,"Comedy",6.9587835354649,5442,-1.47041759692988
1998,"Comedy",6.96455445544554,5555,0.0829300114197739
1999,"Comedy",6.95653953183827,6109,-0.115081641740935
2000,"Comedy",6.99127416955875,6051,0.499309140148028
2001,"Comedy",7.03318604296815,6563,0.59948833921993
2002,"Comedy",6.97758369723435,6870,-0.790571234631154
2003,"Comedy",6.92692678891493,7253,-0.72599499364657
2004,"Comedy",6.92940685045948,8379,0.0358032013348109
2005,"Comedy",7.00267884635123,9743,1.05740646310718
2006,"Comedy",6.98604651162791,10621,-0.237513887017494
2007,"Comedy",7.00110366168128,9695,0.215531775064887
2008,"Comedy",6.96778673400019,10297,-0.475881079485238
2009,"Comedy",7.02328042328042,12285,0.796432086668788
2010,"Comedy",7.04728569237847,13042,0.34179568024194
2011,"Comedy",7.12485145282403,15315,1.10064731062978
2012,"Comedy",7.17412162162162,16280,0.69152555844601
2013,"Comedy",7.11669437188316,16844,-0.800477783445773
2014,"Comedy",7.15222017939718,17949,0.499189731322119
2015,"Comedy",7.10937313432836,18425,-0.599073350569462
2016,"Comedy",7.14320900060815,19732,0.475933189051647
1983,"Crime",6.99142185663925,851,NA
1984,"Crime",7.0567940552017,942,0.935034387895944
1985,"Crime",6.92310821806347,1229,-1.89442735741576
1986,"Crime",6.88852188274154,1211,-0.499578140808042
1987,"Crime",6.9263109475621,1087,0.54858016659911
1988,"Crime",6.83842105263158,1140,-1.26892794152499
1989,"Crime",6.81637658227848,1264,-0.322361992387372
1990,"Crime",6.70660237388724,1348,-1.61044811809014
1991,"Crime",6.81718131433096,1263,1.64880716462736
1992,"Crime",6.83067577828398,1317,0.197947851623835
1993,"Crime",6.95122273628553,1513,1.76478816905337
1994,"Crime",6.9934396076027,1631,0.607330147785341
1995,"Crime",7.03913305237809,1661,0.653375839918811
1996,"Crime",7.05163288288288,1776,0.177576278382284
1997,"Crime",7.04979057591623,1910,-0.026125962557158
1998,"Crime",7.06328754144955,2111,0.191452006807532
1999,"Crime",7.02723995880535,1942,-0.510351340401506
2000,"Crime",7.03936120244246,2129,0.172489394245344
2001,"Crime",6.89991063449509,2238,-1.98101168468219
2002,"Crime",7.07546125461255,2168,2.54424483760444
2003,"Crime",7.11276505513147,2358,0.527227825530111
2004,"Crime",7.30657948508378,2447,2.72488165221322
