"","crop","year","yield"
"1","maize",1981,12524.9140453144
"2","maize",1982,42350.0627481639
"3","maize",1983,38091.6184557769
"4","maize",1984,41980.8969392404
"5","maize",1985,43999.0925270468
"6","maize",1986,44704.7489446271
"7","maize",1987,44683.0005381349
"8","maize",1988,41759.3672673926
"9","maize",1989,45598.7358732149
"10","maize",1990,47187.3077875674
"11","maize",1991,46293.208674442
"12","maize",1992,48599.8083900679
"13","maize",1993,47650.8043110818
"14","maize",1994,50674.2849899959
"15","maize",1995,49839.1237373799
"16","maize",1996,53304.2207511105
"17","maize",1997,52232.1386010293
"18","maize",1998,55293.9422312435
"19","maize",1999,54626.9051905852
"20","maize",2000,55170.4942532592
"21","maize",2001,57180.6932151951
"22","maize",2002,57043.2551650479
"23","maize",2003,58667.2973300107
"24","maize",2004,62241.134543065
"25","maize",2005,62053.129308356
"26","maize",2006,62506.373108808
"27","maize",2007,62801.5667627566
"28","maize",2008,65311.3708993867
"29","maize",2009,65616.4145489
"30","maize",2010,67706.5382855609
"31","maize",2011,59940.6458727382
"32","maize",2012,57373.2577921078
"33","maize",2013,62649.7633894309
"34","maize",2014,65432.539790526
"35","maize",2015,61505.4034909904
"36","maize",2016,65079.8314543292
"37","maize_major",1981,11556.4568572725
"38","maize_major",1982,42397.1047062632
"39","maize_major",1983,38091.6098076664
"40","maize_major",1984,42097.3097929563
"41","maize_major",1985,44114.5791250952
"42","maize_major",1986,44801.2747613508
"43","maize_major",1987,44775.7010708917
"44","maize_major",1988,41856.5876347646
"45","maize_major",1989,45705.7354029994
"46","maize_major",1990,47201.4993726555
"47","maize_major",1991,46289.4745064806
"48","maize_major",1992,48661.5581431184
"49","maize_major",1993,47697.679695148
"50","maize_major",1994,50725.8084255792
"51","maize_major",1995,49820.2262514513
"52","maize_major",1996,53324.3205836937
"53","maize_major",1997,52312.451122744
"54","maize_major",1998,55218.6302385125
"55","maize_major",1999,54688.7582342904
"56","maize_major",2000,55189.2866572812
"57","maize_major",2001,57249.3023472894
"58","maize_major",2002,57081.0780013613
"59","maize_major",2003,58614.7124264725
"60","maize_major",2004,62272.0727725979
"61","maize_major",2005,62006.9042284545
"62","maize_major",2006,62493.3531243131
"63","maize_major",2007,62701.4111182652
"64","maize_major",2008,65316.2590634264
"65","maize_major",2009,65551.9328189455
"66","maize_major",2010,67633.0340519659
"67","maize_major",2011,59955.9424357824
"68","maize_major",2012,57368.2936529219
"69","maize_major",2013,62651.2826779038
"70","maize_major",2014,65444.3697197363
"71","maize_major",2015,57774.3311701789
"72","maize_major",2016,65090.8898681402
"73","maize_second",1981,1570.66825802065
"74","maize_second",1982,3680.09316982329
"75","maize_second",1983,3663.35336536914
"76","maize_second",1984,3635.92269195244
"77","maize_second",1985,3857.62649673037
"78","maize_second",1986,3867.98621594906
"79","maize_second",1987,4079.00407764316
"80","maize_second",1988,3920.02153985761
"81","maize_second",1989,4349.12230897881
"82","maize_second",1990,4244.80642931908
"83","maize_second",1991,4155.76866087317
"84","maize_second",1992,4337.96496611275
"85","maize_second",1993,4567.63790547103
"86","maize_second",1994,4227.39748529345
"87","maize_second",1995,5042.70259647071
"88","maize_second",1996,5194.64225806948
"89","maize_second",1997,4860.51376660913
"90","maize_second",1998,5484.98919006437
"91","maize_second",1999,5272.37932296656
"92","maize_second",2000,5384.05713663623
"93","maize_second",2001,6300.32651717961
"94","maize_second",2002,5648.89366672188
"95","maize_second",2003,6615.28198494017
"96","maize_second",2004,5838.42708744109
"97","maize_second",2005,5837.17049451172
"98","maize_second",2006,5997.90800732747
"99","maize_second",2007,6639.96010615677
"100","maize_second",2008,6587.48759523034
"101","maize_second",2009,6555.48715876415
"102","maize_second",2010,7323.01315796003
"103","maize_second",2011,5872.95923183858
"104","maize_second",2012,6727.05385802686
"105","maize_second",2013,6786.68624035269
"106","maize_second",2014,6416.91558050364
"107","maize_second",2015,9253.5132856369
"108","maize_second",2016,6105.65418265015
"109","rice",1981,9503.21160469204
"110","rice",1982,31785.7081475109
"111","rice",1983,31480.5814794451
"112","rice",1984,33314.8282940742
"113","rice",1985,33267.3515544403
"114","rice",1986,33600.0779096913
"115","rice",1987,33879.508681003
"116","rice",1988,33912.5389214922
"117","rice",1989,36852.6228187885
"118","rice",1990,35393.3527275957
